,upper_left_latitude,upper_left_longitude,upper_right_latitude,upper_right_longitude,lower_left_latitude,lower_left_longitude,lower_right_latitude,lower_right_longitude,projection,Area
0,0,0,0,0,0,0,0,0,0,0
1,-8.931772,53.630352,-8.93365,53.039075,6.846395,53.839573,6.85751,53.212716,Selenographic,Equatorial
2,-7.707162,53.614902,-7.700702,53.086682,8.154181,53.824256,8.162017,53.260509,Selenographic,Equatorial
3,-6.482529,53.655556,-6.476417,53.074937,9.456141,53.868653,9.467919,53.24505,Selenographic,Equatorial
4,-1.502532,-125.89836500000001,-1.508216,-125.35375099999999,27.840479,-125.568207,27.832862,-124.937828,Selenographic,Equatorial
5,0.771915,-125.899438,0.758574,-125.35458499999999,30.197245,-125.537867,30.182662,-124.89245,Selenographic,Equatorial
6,-0.362162,-125.87695099999999,-0.368352,-125.38564,29.020398,-125.523381,29.012939,-124.948163,Selenographic,Equatorial
7,-1.4792,-136.527336,-1.490116,-135.984,27.843322,-136.282783,27.831626,-135.643641,Selenographic,Equatorial
8,0.816294,-136.498293,0.809897,-135.953673,30.229129,-136.263505,30.221726,-135.607686,Selenographic,Equatorial
9,-0.330177,-136.48198,-0.335747,-135.991363,29.038278,-136.242127,29.031857,-135.658341,Selenographic,Equatorial
10,-1.417283,-137.598667,-1.431151,-137.045893,27.901446,-137.368772,27.886875,-136.719313,Selenographic,Equatorial
11,0.923137,-137.563899,0.918954,-137.009597,30.315511,-137.351811,30.310364,-136.684935,Selenographic,Equatorial
12,-0.251879,-137.547584,-0.256885,-137.048366,29.11408,-137.329132,29.108257,-136.735708,Selenographic,Equatorial
13,-1.275703,-138.711337,-1.337148,-138.156925,27.867879,-138.448399,27.805758,-137.798516,Selenographic,Equatorial
14,-0.27275,-138.611929,-0.277771,-138.108425,29.138922,-138.413073,29.133083,-137.815584,Selenographic,Equatorial
15,0.908209,-138.677261,0.857205,-138.120609,30.373384,-138.43177,30.321671,-137.763042,Selenographic,Equatorial
16,-1.450073,-139.715534,-1.460624,-139.170279,27.922149,-139.526273,27.910994,-138.887559,Selenographic,Equatorial
17,0.851513,-139.690961,0.844995,-139.144658,30.307758,-139.512074,30.300411,-138.856893,Selenographic,Equatorial
18,-0.300234,-139.670929,-0.304959,-139.178691,29.117173,-139.488201,29.111728,-138.90488,Selenographic,Equatorial
19,-2.321254,-148.25572,-2.327152,-147.70816,27.617619,-148.198724,27.611627,-147.562588,Selenographic,Equatorial
20,-0.094922,-148.305649,-0.141717,-147.761381,30.112551,-148.19635,30.066613,-147.547924,Selenographic,Equatorial
21,-1.157668,-148.215954,-1.16021,-147.722731,28.793685,-148.1664,28.790818,-147.586772,Selenographic,Equatorial
22,-1.512095,-150.40218,-1.513941,-149.863792,27.930372,-150.397312,27.928159,-149.768255,Selenographic,Equatorial
23,0.760401,-150.394376,0.75898,-149.856867,30.277044,-150.393852,30.275227,-149.751134,Selenographic,Equatorial
24,-0.374369,-150.371851,-0.375867,-149.886679,29.105169,-150.364323,29.103327,-149.790978,Selenographic,Equatorial
25,0.496482,-152.492757,0.483458,-151.959661,30.024971,-152.484431,30.008343,-151.847296,Selenographic,Equatorial
26,-0.621986,-152.471929,-0.652906,-151.991572,28.867361,-152.451677,28.832586,-151.884383,Selenographic,Equatorial
27,-1.747663,-152.503412,-1.791015,-151.97105,27.698236,-152.491984,27.650807,-151.870355,Selenographic,Equatorial
28,-1.779153,-153.578088,-1.776008,-153.033736,27.631457,-153.610447,27.632529,-152.973868,Selenographic,Equatorial
29,0.524894,-153.585201,0.523075,-153.041642,30.0174,-153.602524,30.013186,-152.951863,Selenographic,Equatorial
30,-0.621634,-153.565887,-0.622253,-153.07532,28.829451,-153.588813,28.827601,-153.008515,Selenographic,Equatorial
31,0.059012,-161.15943,0.060369,-160.598884,30.173014,-161.287004,30.17408,-160.600566,Selenographic,Equatorial
